date,open,close,high,low,volume,money
2006-01-24,1254.79,1257.13,1272.04,1248.13,421309300,2304194478
2006-01-25,1256.8,1270.83,1271.64,1254.43,394086900,2111031633
2006-02-06,1275.09,1324.32,1325.13,1275.09,462304500,2578183279
2006-02-07,1327.61,1318.64,1336.31,1302.74,529257500,3036951828
2006-02-08,1316.27,1315.31,1317.5,1301.26,332006700,1817257749
2006-02-09,1314.07,1294.59,1314.07,1291.13,291559500,1587287509
2006-02-10,1294.11,1313.82,1314.32,1292.48,329896100,1796630344
2006-02-13,1313.49,1307.68,1313.84,1294.23,322285300,1714632564
2006-02-14,1307.17,1324.83,1325.37,1304.1,266774600,1521890270
2006-02-15,1325.99,1329.16,1342.72,1325.99,326234100,1867443374
2006-02-16,1326.76,1299.13,1327.08,1298.28,383267600,2033881110
2006-02-17,1303.29,1312.57,1318.73,1300.29,325772000,1753515736
2006-02-20,1312.13,1315.29,1328.99,1309.69,444133900,3104511344
2006-02-21,1312.29,1328.25,1328.72,1299.87,356387300,2182956536
2006-02-22,1329.13,1333.88,1344.94,1323.98,376116300,2375477009
2006-02-23,1336.77,1328.35,1336.77,1314.21,282867600,1668798497
2006-02-24,1329.17,1343.83,1344.34,1329.17,295678400,1784539103
2006-02-27,1349.41,1333.81,1351.41,1330.33,314854400,1948241499
2006-02-28,1331.29,1337.27,1339.28,1315.2,233237100,1342291477
2006-03-01,1323.63,1330.65,1332.03,1321.34,263994700,1456964253
2006-03-02,1332.37,1312.57,1332.37,1307.08,389033200,2068778447
2006-03-03,1310.57,1317.52,1320.68,1302.5,278325100,1501697159
2006-03-06,1317.86,1308.26,1319.68,1306.41,267447000,1412541984
2006-03-07,1307.21,1274.47,1307.21,1271.49,329709600,1657892250
2006-03-08,1271.45,1257.34,1273.04,1242.14,291047200,1549311520
2006-03-09,1256.36,1254.58,1261.76,1250.77,205876300,974718991
2006-03-10,1256.02,1263.43,1265.13,1256.02,226948600,1168920776
2006-03-13,1263.49,1288.94,1290.17,1263.49,248361700,1194808815
2006-03-14,1289.31,1290.19,1291.95,1279.35,181853500,911099226
2006-03-15,1290.38,1308.65,1308.94,1288.01,236115800,1213875122
2006-03-16,1308.26,1312.59,1315.05,1304.39,242076100,1326794721
2006-03-17,1312.68,1302.68,1317.7,1301.47,237344800,1345438840
2006-03-20,1303.63,1323.61,1323.66,1295.99,218284800,1248684962
2006-03-21,1324.01,1328.24,1340.78,1321.19,323435800,1722829644
2006-03-22,1329.61,1345.95,1346.59,1324.42,367935400,2055548422
2006-03-23,1344.98,1342.8,1348.68,1336.98,381693100,2034320090
2006-03-24,1345.33,1338.49,1349.25,1336.5,349095100,1936198792
2006-03-27,1338.06,1362.19,1362.39,1334.12,300422394,1723722498
2006-03-28,1363.41,1379.63,1379.86,1362.07,359648000,2021960055
2006-03-29,1381.38,1392.24,1414.59,1378.38,527082400,3028028417
2006-03-30,1390.81,1377.07,1394.28,1376.29,362025300,2169110517
2006-03-31,1375.33,1389.01,1392.42,1370.04,368488400,2256491109
2006-04-03,1393.77,1420.28,1420.47,1393.77,503758900,3084276463
2006-04-04,1422.32,1425.52,1430.11,1407.3,570379500,3311626995
2006-04-05,1429.2,1442.87,1443.92,1425.43,561776300,3387847329
2006-04-06,1446.74,1453.33,1457.07,1433.23,584742100,3559650400
2006-04-07,1452.51,1451.9,1459.07,1437.5,488555500,3071854060
2006-04-10,1451.33,1461.3,1462.09,1436.25,402479300,2445396980
2006-04-11,1464.3,1477.94,1482.82,1457.44,511466700,3180698626
2006-04-12,1478.97,1459.28,1478.97,1458.21,393654600,2360447097
2006-04-13,1465.47,1440.57,1475.47,1439.32,591564200,3266577137
2006-04-14,1440.06,1481.21,1481.28,1438.68,537202100,3271098266
2006-04-17,1480.93,1486.17,1502.09,1475.01,469291700,2890711142
2006-04-18,1489.39,1505.98,1508.72,1477.34,587373900,3992772691
2006-04-19,1505.34,1517.36,1525.32,1496.91,576249000,3710785905
2006-04-20,1516.35,1515.9,1527.27,1505.19,599006800,3696206815
2006-04-21,1515.34,1521.48,1530.58,1493.14,683783700,3904500845
2006-04-24,1531.66,1488.55,1532.52,1486.92,764763700,4605070743
2006-04-25,1484.06,1500.99,1512.69,1459.46,687394000,4139662975
2006-04-26,1503.97,1511.36,1521.36,1497.72,757556500,4786594971
2006-04-27,1510.78,1506.7,1518.44,1491.14,527486800,3065506107
2006-04-28,1474.84,1503.23,1511.45,1455.89,633578300,3698102503
2006-05-08,1511.29,1568.8,1569.2,1511.29,642374100,3843373783
2006-05-09,1584.74,1611.76,1615.45,1582.51,851218700,5188270184
2006-05-10,1615.23,1620.9,1628.49,1591.0,880523900,5230718134
2006-05-11,1619.1,1584.73,1634.97,1581.13,887885000,5501037165
2006-05-12,1581.1,1606.3,1606.92,1573.74,748865700,4578330784
2006-05-15,1622.43,1681.71,1682.24,1615.84,1098492800,6906154813
2006-05-16,1712.63,1647.94,1730.05,1643.41,1240178400,8172377132
2006-05-17,1653.29,1673.21,1686.37,1637.91,877889900,6022384718
2006-05-18,1655.67,1680.42,1692.75,1630.21,819714800,5202232777
2006-05-19,1684.89,1714.32,1719.56,1672.72,896956900,5403289316
2006-05-22,1716.57,1736.2,1754.21,1709.79,911117100,5937141844
2006-05-23,1724.1,1667.67,1724.1,1667.21,682797300,4294500661
2006-05-24,1692.03,1660.01,1730.07,1625.61,844014600,5469894029
2006-05-25,1648.16,1665.0,1675.1,1637.55,459618200,3131144479
2006-05-26,1674.31,1700.37,1701.75,1669.91,470482200,3241502329
2006-05-29,1712.1,1742.47,1744.14,1700.7,680668800,4408908923
2006-05-30,1749.54,1750.84,1755.44,1729.89,557936500,3879081996
2006-05-31,1752.11,1735.39,1763.78,1722.54,675139200,4790337189
2006-06-01,1734.31,1762.32,1762.85,1733.02,612050300,3855665183
2006-06-02,1763.21,1736.0,1764.56,1728.3,760889500,4751507416
2006-06-05,1739.49,1762.66,1762.9,1712.59,666232800,4231319955
2006-06-06,1762.16,1764.31,1782.43,1755.17,579415900,3724510816
2006-06-07,1761.4,1676.7,1766.75,1675.72,578829900,3603900860
2006-06-08,1663.98,1672.53,1685.31,1630.09,566308800,3639242387
2006-06-09,1666.94,1640.68,1680.6,1638.3,454244100,2959875494
2006-06-12,1632.84,1657.34,1668.86,1622.92,314494000,2137731728
2006-06-13,1653.66,1655.97,1665.8,1636.66,310955500,2145124613
2006-06-14,1648.73,1630.44,1648.73,1619.58,329910600,2125993350
2006-06-15,1630.61,1633.79,1652.8,1628.69,271167300,1674754506
2006-06-16,1642.49,1677.43,1677.43,1642.49,333027200,2049789578
2006-06-19,1665.16,1694.48,1704.27,1652.91,345814200,2227122656
2006-06-20,1693.14,1690.97,1701.97,1679.34,274176700,1800186951
2006-06-21,1688.96,1678.32,1693.63,1664.42,348939800,2213876044
2006-06-22,1676.69,1671.28,1684.43,1667.06,288854600,1782105081
2006-06-23,1665.12,1678.22,1679.29,1653.39,265491200,1630749189
2006-06-26,1683.52,1715.68,1715.84,1683.52,402716200,2590455060
2006-06-27,1716.34,1713.51,1723.07,1703.51,370729600,2314381114
2006-06-28,1710.99,1713.26,1713.9,1701.14,312425400,2029290726
2006-06-29,1717.13,1769.1,1778.55,1717.13,622489700,4183908360
2006-06-30,1777.66,1768.04,1789.26,1753.41,474131600,3197179999
2006-07-03,1777.08,1801.99,1802.08,1773.72,477886300,3324869494
2006-07-04,1804.41,1777.45,1806.73,1770.06,580818900,3858506236
2006-07-05,1777.11,1766.35,1780.43,1742.53,412467900,2667244817
2006-07-06,1757.44,1788.58,1788.58,1757.02,397104600,2467235478
2006-07-07,1793.22,1786.9,1797.18,1782.31,449091100,3223948426
2006-07-10,1789.23,1802.37,1803.18,1771.13,448989700,3044309301
2006-07-11,1802.97,1806.15,1806.57,1792.22,489761000,3350454132
2006-07-12,1805.68,1809.87,1828.08,1805.68,585660200,4113022280
2006-07-13,1810.6,1719.73,1814.36,1712.69,712844700,4944273102
2006-07-14,1706.02,1741.3,1756.85,1697.0,543802200,3725591887
2006-07-17,1737.65,1762.2,1762.2,1735.22,372676000,2413070843
2006-07-18,1759.17,1763.55,1766.55,1744.31,362741300,2448389228
2006-07-19,1757.56,1718.09,1757.56,1710.04,381387400,2423757562
2006-07-20,1716.3,1726.72,1731.45,1708.2,249482700,1623663206
2006-07-21,1717.71,1737.04,1737.04,1717.71,278677200,1959880649
